Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank
2024,BX0501,University Heights (South)-Morris Heights,2477025.52998904,0.29,0.12,0.20,7.97421251144482,2
2024,BX0502,Mount Hope,564181.73624832,0.19,0.14,0.24,6.56550126271332,15
2024,BX0503,Fordham Heights,68329.793887384,0.16,0.14,0.27,5.95745062711259,36
2024,BX0601,West Farms,782317.985548832,0.34,0.17,0.17,6.91599352618371,8
2024,BX0602,Tremont,133582.376880787,0.31,0.12,0.16,5.82456782575,44
2024,BX0603,Belmont,842295.798028741,0.34,0.15,0.22,6.59472000434676,14
2024,BX0701,University Heights (North)-Fordham,628483.75923519,0.25,0.13,0.24,6.31200941745232,24
2024,BX0702,Bedford Park,1061989.98245195,0.27,0.13,0.25,6.86790727856387,10
2024,BX0703,Norwood,-131513.527373536,0.19,0.10,0.23,5.36226711463655,79
2024,BX0801,Kingsbridge Heights-Van Cortlandt Village,744389.842403519,0.12,0.10,0.18,5.55161088250319,63
2024,BX0802,Kingsbridge-Marble Hill,619047.2279812,0.13,0.09,0.16,5.1866450810476,93
2024,BX0803,Riverdale-Spuyten Duyvil,1574077.13381325,0.16,0.06,0.11,5.6161677065993,58
2024,BX0901,Soundview-Bruckner-Bronx River,2383876.57089609,0.23,0.10,0.21,7.53505648535057,3
2024,BX0902,Soundview-Clason Point,286372.335433197,0.18,0.11,0.11,5.63000181084808,57
2024,BX0903,Castle Hill-Unionport,808080.48663689,0.24,0.09,0.16,5.59680627184108,61
2024,BX0904,Parkchester,471602.002560945,0.11,0.12,0.15,5.60252037530932,60
2024,BX1001,Westchester Square,-94427.5009095296,0.24,0.07,0.18,4.68137464644221,132
2024,BX1002,Throgs Neck-Schuylerville,1298931.2635663,0.15,0.07,0.09,5.53969058426951,64
2024,BX1003,Pelham Bay-Country Club-City Island,692971.165112981,0.12,0.09,0.12,5.06043236731112,106
2024,BX1004,Co-op City,569393.634003479,0.12,0.09,0.09,4.75947396621392,126
2024,BX1101,Pelham Parkway-Van Nest,953650.982821824,0.20,0.10,0.17,5.91450655422108,38
2024,BX1102,Morris Park,683014.051486384,0.27,0.08,0.16,4.99739844519936,109
2024,BX1103,Pelham Gardens,424274.160265096,0.14,0.07,0.13,5.45757235983705,71
2024,BX1104,Allerton,977120.459312459,0.16,0.11,0.18,6.23407709359095,27
2024,BX1201,Williamsbridge-Olinville,529490.943682675,0.20,0.11,0.16,5.88143638055068,41
2024,BX1202,Eastchester-Edenwald-Baychester,-118415.432871332,0.17,0.10,0.15,5.47068987283272,68
2024,BX1203,Wakefield-Woodlawn,267710.479347753,0.14,0.09,0.15,5.63506926621598,55
2024,MN0101,Financial District-Battery Park City,314777.624452469,0.11,0.03,0.11,4.23490359196029,170
2024,MN0102,Tribeca-Civic Center,433216.924966088,0.12,0.03,0.11,4.97311961217743,111
2024,MN0201,SoHo-Little Italy-Hudson Square,484433.165313419,0.16,0.03,0.13,5.06147874644842,105
2024,MN0202,Greenwich Village,544779.61348278,0.12,0.06,0.11,4.87776015544373,121
2024,MN0203,West Village,432042.500262847,0.11,0.07,0.10,4.73678229360039,127
2024,MN0301,Chinatown-Two Bridges,1054961.03143734,0.17,0.12,0.18,6.39294550875037,18
2024,MN0302,Lower East Side,815348.163983347,0.23,0.05,0.13,5.75898527549391,52
2024,MN0303,East Village,716026.432623874,0.16,0.05,0.12,5.20030914879898,92
2024,MN0401,Chelsea-Hudson Yards,137935.026312181,0.13,0.04,0.12,4.84364669358152,124
2024,MN0402,Hell's Kitchen,664517.997109527,0.12,0.06,0.15,5.21731567740879,90
2024,MN0501,Midtown South-Flatiron-Union Square,328044.248152163,0.16,0.05,0.13,4.94741048146192,115
2024,MN0502,Midtown-Times Square,896626.169174286,0.33,0.06,0.16,5.30692929164676,84
2024,MN0601,Stuyvesant Town-Peter Cooper Village,478205.898280849,0.15,0.03,0.13,4.66024756829564,136
2024,MN0602,Gramercy,409660.795451855,0.11,0.03,0.10,4.50334185904662,153
2024,MN0603,Murray Hill-Kips Bay,918267.096481123,0.11,0.03,0.14,5.17363096614514,96
2024,MN0604,East Midtown-Turtle Bay,549673.341568676,0.08,0.05,0.13,4.68835430232572,130
2024,MN0701,Upper West Side-Lincoln Square,1357317.2547889,0.13,0.06,0.14,5.8891442734626,40
2024,MN0702,Upper West Side (Central),914148.938238211,0.12,0.04,0.13,5.35372036834735,80
2024,MN0703,Upper West Side-Manhattan Valley,1150652.80107621,0.15,0.07,0.14,6.02429537883773,32
2024,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,972975.134620079,0.09,0.04,0.17,4.94808569837201,114
2024,MN0802,Upper East Side-Carnegie Hill,990925.483628192,0.18,0.05,0.11,4.88103803075606,120
2024,MN0803,Upper East Side-Yorkville,878285.155001042,0.10,0.05,0.12,4.86728852539781,123
2024,MN0901,Morningside Heights,280284.611808665,0.22,0.10,0.19,5.59118713535406,62
2024,MN0902,Manhattanville-West Harlem,780997.808910762,0.24,0.13,0.14,5.85939388160867,42
2024,MN0903,Hamilton Heights-Sugar Hill,935549.106130261,0.18,0.08,0.18,5.76496891992459,51
2024,MN1001,Harlem (South),-1234395.68231273,0.15,0.07,0.12,3.77843752010151,182
2024,MN1002,Harlem (North),1168146.02075092,0.20,0.12,0.13,6.37183431971952,19
2024,MN1101,East Harlem (South),1513604.58262396,0.22,0.09,0.13,6.76359147093251,11
2024,MN1102,East Harlem (North),744816.688163371,0.25,0.09,0.12,6.3487512306959,21
2024,MN1201,Washington Heights (South),1801855.26667833,0.20,0.14,0.19,7.09485297019298,6
2024,MN1202,Washington Heights (North),2421491.35909758,0.24,0.12,0.19,7.39217323713678,4
2024,MN1203,Inwood,-668489.476361266,0.14,0.08,0.17,4.29628999172088,167
2024,QN0101,Astoria (North)-Ditmars-Steinway,1722493.81581697,0.17,0.08,0.13,5.90480934007626,39
2024,QN0102,Old Astoria-Hallets Point,186568.428573818,0.20,0.07,0.18,4.55811143976032,147
2024,QN0103,Astoria (Central),855749.630526894,0.12,0.07,0.16,5.46989283759959,69
2024,QN0104,Astoria (East)-Woodside (North),1071146.11767493,0.17,0.09,0.18,5.36892256834431,78
2024,QN0105,Queensbridge-Ravenswood-Dutch Kills,-3566186.43251545,0.18,0.07,0.17,2.26062880472134,194
2024,QN0201,Long Island City-Hunters Point,-156097.366567138,0.11,0.06,0.21,4.67145996971579,134
2024,QN0202,Sunnyside,-122017.432573859,0.16,0.07,0.26,4.95732257043682,113
2024,QN0203,Woodside,-557992.67688697,0.15,0.05,0.33,3.77282595537474,183
2024,QN0301,Jackson Heights,2070961.68957603,0.15,0.09,0.26,6.63727313312303,13
2024,QN0302,East Elmhurst,88505.0668640054,0.18,0.07,0.24,5.09209596065997,101
2024,QN0303,North Corona,408109.16378363,0.14,0.03,0.40,5.24621777424288,87
2024,QN0401,Elmhurst,1836053.18590935,0.14,0.05,0.32,6.29415384924758,25
2024,QN0402,Corona,1176683.76710276,0.14,0.07,0.32,6.33320151636995,23
2024,QN0501,Maspeth,734793.48130469,0.11,0.07,0.18,5.46451218073474,70
2024,QN0502,Ridgewood,1390109.37141242,0.13,0.07,0.20,6.08789584435742,29
2024,QN0503,Glendale,403126.466096739,0.18,0.05,0.15,4.91395833272884,117
2024,QN0504,Middle Village,-481957.178088102,0.11,0.04,0.15,3.67213456865751,185
2024,QN0601,Rego Park,871464.777989125,0.17,0.05,0.20,4.93872103154343,116
2024,QN0602,Forest Hills,391756.114927888,0.11,0.05,0.17,4.58272186891721,146
2024,QN0701,College Point,1360272.05562476,0.21,0.09,0.19,5.80069034229219,49
2024,QN0702,Whitestone-Beechhurst,709043.631090701,0.11,0.09,0.12,5.14493387571453,98
2024,QN0703,Bay Terrace-Clearview,496859.425163496,0.10,0.06,0.10,4.58448349503834,145
2024,QN0704,Murray Hill-Broadway Flushing,1170332.63539162,0.12,0.05,0.27,5.73574619624708,54
2024,QN0705,East Flushing,587362.705388957,0.21,0.07,0.30,4.8733761931781,122
2024,QN0706,Queensboro Hill,1220918.51175563,0.31,0.05,0.28,5.17699579448547,94
2024,QN0707,Flushing-Willets Point,838123.721233447,0.16,0.07,0.37,5.8011183088144,48
2024,QN0801,Kew Gardens Hills,-311030.983147105,0.14,0.06,0.15,3.99830663253032,179
2024,QN0802,Pomonok-Electchester-Hillcrest,235171.562118469,0.11,0.09,0.14,4.6121829934863,141
2024,QN0803,Fresh Meadows-Utopia,664869.790906638,0.14,0.04,0.16,4.60839409175935,142
2024,QN0804,Jamaica Estates-Holliswood,907124.257057071,0.22,0.08,0.18,5.84661882808475,43
2024,QN0805,Jamaica Hills-Briarwood,236913.919203757,0.14,0.10,0.19,5.53889529134762,65
2024,QN0901,Kew Gardens,72640.7810940448,0.14,0.05,0.13,4.32059700296043,165
2024,QN0902,Richmond Hill,-3433385.7515283,0.14,0.07,0.20,1.49566636254472,197
2024,QN0903,South Richmond Hill,-371041.241861009,0.13,0.08,0.25,4.23790859415423,169
2024,QN0904,Ozone Park (North),-406662.987770351,0.14,0.07,0.20,4.01246340762025,178
2024,QN0905,Woodhaven,-196651.316373691,0.13,0.07,0.20,4.52744587953114,151
2024,QN1001,South Ozone Park,350132.216382029,0.12,0.09,0.18,5.81927800578431,45
2024,QN1002,Ozone Park,179951.213967933,0.14,0.06,0.14,4.37781893397637,163
2024,QN1003,Howard Beach-Lindenwood,692374.475526455,0.12,0.08,0.08,5.08618077322596,103
2024,QN1101,Auburndale,1001619.13447766,0.13,0.05,0.18,5.04128859731886,107
2024,QN1102,Bayside,960883.685317714,0.13,0.04,0.14,5.38085010729115,77
2024,QN1103,Douglaston-Little Neck,390005.260015002,0.11,0.06,0.12,4.44786677273409,156
2024,QN1104,Oakland Gardens-Hollis Hills,557888.94461516,0.10,0.04,0.13,4.54263591223383,148
2024,QN1201,Jamaica,-1998551.20158282,0.13,0.09,0.24,3.91199689405542,181
2024,QN1202,South Jamaica,-3624177.96303293,0.14,0.16,0.17,2.86053587298237,191
2024,QN1203,Baisley Park,-925195.805818841,0.09,0.10,0.15,4.58906538508939,144
2024,QN1204,Springfield Gardens (North)-Rochdale Village,-1134213.38606401,0.07,0.07,0.10,4.28061373729213,168
2024,QN1205,St. Albans,-2915128.01474173,0.08,0.05,0.12,2.10247606991815,195
2024,QN1206,Hollis,-1299442.22510311,0.09,0.08,0.15,3.74604514113853,184
2024,QN1301,Glen Oaks-Floral Park-New Hyde Park,513304.272476398,0.11,0.04,0.14,4.43348647846449,158
2024,QN1302,Bellerose,619017.953295808,0.11,0.06,0.16,5.30750518013123,83
2024,QN1303,Queens Village,-1630960.15613106,0.09,0.09,0.15,3.55031862920083,186
2024,QN1304,Cambria Heights,-846873.303749151,0.03,0.05,0.12,3.49770690214809,187
2024,QN1305,Laurelton,-1292530.65992445,0.03,0.05,0.11,3.05673636110581,190
